Title,Year,Votes,Rating
A Patch of Blue,1965,4381,8.1
A Perfect Day,2006,704,5.6
A Perfect Ending,2012,1347,5.8
A Perfect Getaway,2009,47742,6.5
A Perfect Man,2013,841,5.1
A Perfect Murder,1998,55064,6.4
A Perfect World,1993,47646,7.5
A Performance of Macbeth,1979,545,7.5
A Personal Journey with Martin Scorsese Through American Movies,1995,3066,8.6
A Piece of the Action,1977,554,6.4
A Place at the Table,2012,699,6.8
A Place in the Sun,1951,12369,7.9
A Plumbing We Will Go,1940,622,8
A Prairie Home Companion,2006,17984,6.8
A Prayer for the Dying,1987,2829,6.4
A Price Above Rubies,1998,2129,6.6
A Princess for Christmas,2011,2086,6.3
A Private Function,1984,1679,6.6
A Pyromaniac's Love Story,1995,851,5.4
A P∑l utcai fi?k,1969,958,8.1
A Rage in Harlem,1991,1164,5.9
A Raisin in the Sun,1961,4275,8.2
A Raisin in the Sun,2008,1190,6.9
A Resurrection,2013,1093,4
A Return to Salem's Lot,1987,1993,4.1
A Ring of Endless Light,2002,820,6.3
A River Runs Through It,1992,33813,7.3
A Romance of the Redwoods,1917,558,7.1
A Room for Romeo Brass,1999,3694,7.7
A Room with a View,1985,23840,7.5
A Room with a View,2007,881,6.2
A Royal Scandal,1945,525,6.9
A Rumor of Angels,2000,872,7.1
A Sailor-Made Man,1921,615,7
A Scanner Darkly,2006,74940,7.1
A Season for Miracles,1999,681,7.6
A Sense of History,1992,573,7.8
A Serious Man,2009,81243,7
A Shine of Rainbows,2009,1238,7.2
A Shock to the System,1990,2666,6.7
A Shot at Glory,2000,1604,6.3
A Shot in the Dark,1964,16293,7.6
A Show of Force,1990,515,5.2
A Shriek in the Night,1933,513,5.4
A Sight for Sore Eyes,2005,812,7.8
A Simple Plan,1998,43237,7.5
A Simple Twist of Fate,1994,3560,6.3
A Simple Wish,1997,3592,5.3
A Single Man,2009,67337,7.6
A Single Shot,2013,4696,5.8
A Slight Case of Murder,1938,1160,7.2
A Slight Case of Murder,1999,1167,7
