Title,Year,Votes,Rating
Broken,2006,2286,5
Broken,2012,6514,7.3
Broken Arrow,1950,4250,7.3
Broken Arrow,1996,66840,5.9
Broken Blossoms or The Yellow Man and the Girl,1919,5903,7.7
Broken Bridges,2006,1338,6.2
Broken City,2013,48077,6.2
Broken Down Film,1985,510,7.2
Broken English,1996,566,6.5
Broken English,2007,4952,6.4
Broken Flowers,2005,68523,7.2
Broken Lance,1954,1983,7
Broken Vessels,1998,514,6.5
Bronco Billy,1980,6737,6
Bronenosets Potemkin,1925,32669,8
Bronies: The Extremely Unexpected Adult Fans of My Little Pony,2012,767,6
Bronson,2008,51200,7.1
Brooklyn Castle,2012,562,7.3
Brooklyn Rules,2007,4533,6.4
Brooklyn's Finest,2009,46624,6.7
Broom-Stick Bunny,1956,572,7.6
Bros Before Hos,2013,1615,6.6
Brother,2000,15969,7.3
Brother Bear,2003,48801,6.7
Brother Bear 2,2006,5458,6.3
Brother Orchid,1940,1459,7.1
Brother to Brother,2004,879,7
Brother's Keeper,1992,2398,7.7
Brother's War,2009,657,2.6
Brotherhood,2010,3100,6.4
Brotherhood of Blood,2007,3046,5
Brothers,2009,69205,7.2
Brothers at War,2009,536,6.6
Brothers in Arms,2005,1475,2.3
Brothers of the Head,2005,1416,6.5
Brown Sugar,2002,4676,6.4
Brown of Harvard,1926,1210,8.4
Brown's Requiem,1998,749,5.9
Brownian Movement,2010,538,4.8
Brubaker,1980,9510,7.1
Bruce Almighty,2003,221381,6.7
Bruce Lee: A Warrior's Journey,2000,1458,8.2
Bruiser,2000,4120,5.2
Bruna Surfistinha,2011,2693,6
Brunet wieczorowa pora,1976,524,7.6
Bruno,2000,1068,6.2
Brutal,2007,772,3.8
Brutal Massacre: A Comedy,2007,608,6.1
Brute Force,1947,4820,7.7
"Brutti, sporchi e cattivi",1976,4083,7.8
BrÀve travers»e,2001,1042,7.1
Bràderna Karlsson,2010,626,5.1
Bràderna Lejonhjârta,1977,3684,7.2
Bràllopsfotografen,2009,2308,6.1
BrØdre,2004,8194,7.6
Br??guminn,2008,953,6.8
Br∏no,2009,98802,5.9
Bu er shen tan,2013,1145,4.6
Bu jian bu san,1998,608,7.3
Bu neng shuo de. mi mi,2007,4134,7.7
Bu san,2003,2265,7.1
Bubba Ho-Tep,2002,34895,7.2
Bubble,2005,6287,6.6
Bubble Boy,2001,21174,5.6
Buchanan Rides Alone,1958,1087,7
Buck,2011,2241,7.6
Buck Privates,1941,2777,7.4
Buck Privates Come Home,1947,1496,7.6
Buck Rogers,1939,524,7.4
Buck Rogers in the 25th Century,1979,2003,6.3
Buck and the Preacher,1972,793,6.4
Bucktown,1975,614,6.2
Bucky Larson: Born to Be a Star,2011,8137,3.2
Bud Abbott Lou Costello Meet Frankenstein,1948,9069,7.6
Bud Abbott and Lou Costello in Hollywood,1945,1699,7.1
Buda as sharm foru rikht,2007,1416,7.3
Budbringeren,1997,1693,6.8
Buddenbrooks,2008,1021,5.8
Buddy,1997,1880,4.7
Buddy,2003,3299,6.9
Buddy Boy,1999,785,6.4
Buddy Buddy,1981,2743,6.6
Buena Vista Social Club,1999,10963,7.6
Buena vida Delivery,2004,547,7.2
Buffalo '66,1998,30898,7.5
Buffalo Bill,1944,778,6.5
"Buffalo Bill and the Indians, or Sitting Bull's History Lesson",1976,2512,6.1
Buffalo Girls,1995,544,6.8
Buffalo Soldiers,2001,18431,6.9
Buffet froid,1979,2648,7.7
Buffy the Vampire Slayer,1992,27277,5.5
Bug,1975,1150,5.1
Bug,2002,974,7.3
Bug,2006,24212,6
Bug Buster,1998,674,3.5
Bugcrush,2006,681,6.9
Bugs,2003,583,3.7
Bugs Bunny Gets the Boid,1942,665,7.4
Bugs Bunny and the Three Bears,1944,642,7.1
Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,1982,940,6.9
Bugs and Thugs,1954,630,7.9
Bugsy,1991,18467,6.8
Bugsy Malone,1976,10348,6.8
Buio Omega,1979,2437,6.4
Bukowski: Born into This,2003,2188,7.9
Bull Durham,1988,30163,7.1
Bullet,1996,5380,6.5
Bullet,2014,869,4.2
Bullet Ballet,1998,1329,7.2
Bullet Boy,2004,1687,6.5
Bullet to Beijing,1995,960,5.6
Bullet to the Head,2012,30318,5.8
Bulletface,2010,738,5.9
Bulletproof,1988,862,4.9
Bulletproof,1996,24905,5.8
Bulletproof Monk,2003,37504,5.4
Bullets Over Broadway,1994,24944,7.5
Bullets or Ballots,1936,1551,7.1
"Bullets, Blood & a Fistful of Ca$h",2006,628,5.3
Bullett Raja,2013,2108,5.2
Bullitt,1968,37945,7.5
Bullseye!,1990,880,4.4
Bully,2001,25737,7
Bully,2011,6985,7.4
Bully for Bugs,1953,1304,8
Bulworth,1998,19996,6.9
Bumazhnyy soldat,2008,593,6.4
Bumbai,1995,4365,7.9
Bumchoiwaui junjaeng: Nabbeunnomdeul jeonsungshidae,2012,2074,7.2
Bumer,2003,2851,7.4
Bumer: Film vtoroy,2006,1498,6.5
Bumping Into Broadway,1919,655,7
Buna! Ce faci?,2010,1076,7.4
Bundle of Joy,1956,537,6.1
Bundy: An American Icon,2008,554,3.8
Bunhongsin,2005,1796,6
Bunker Hill Bunny,1950,568,7.5
Bunker Palace HŸtel,1989,500,6.7
Bunny,1999,1361,6.9
Bunny Hugged,1951,512,7.6
Bunny Lake Is Missing,1965,3898,7.3
Bunny O'Hare,1971,527,6.4
Bunny and the Bull,2009,3393,6.7
Bunnyman,2011,632,3
Bunraku,2010,13743,6.2
Bunshinsaba,2004,974,6
Bunty Aur Babli,2005,3339,6.2
"Buona Sera, Mrs. Campbell",1968,845,6.9
"Buongiorno, notte",2003,2357,7.2
Burakku jakku,1996,601,6.9
Burden of Dreams,1982,3095,8
Bure baruta,1998,2683,7.9
Bureau of Missing Persons,1933,535,7.2
Burglar,1987,2762,4.9
Buried,2010,95621,7
Buried Alive,1990,2396,6.6
Buried Alive,2007,1581,4
Buried Alive II,1997,685,5.3
Burke and Hare,2010,12980,6.2
Burlesque,2010,48328,6.3
Burma VJ: Reporter i et lukket land,2008,1910,8
Burn After Reading,2008,200296,7
Burn Notice: The Fall of Sam Axe,2011,3005,7.2
Burning Bright,2010,3763,5.9
Burning Man,2011,2284,6.5
Burning Palms,2010,1978,5.3
Burnt Offerings,1976,4872,6.5
Burton and Taylor,2013,847,6.5
Bury My Heart at Wounded Knee,2007,3886,7.2
Burzynski,2010,736,7.3
Bus Stop,1956,6708,6.7
Bush's Brain,2004,873,6.8
Bushi no ichibun,2006,2010,7.8
Bushwhacked,1995,3904,5.4
Business Man,2012,3310,7.1
Buster,1988,2231,5.7
Busters verden,1984,684,7.2
Bustin' Loose,1981,1576,6
Busting,1974,578,6.2
Busy Bodies,1933,1185,7.8
But I'm a Cheerleader,1999,16740,6.5
Buta to gunkan,1961,847,7.6
Butch Cassidy and the Sundance Kid,1969,113368,8.2
Butch and Sundance: The Early Days,1979,849,5.6
Butcher Boys,2012,700,3.6
Butter,2011,13542,6.3
Butterflies Are Free,1972,2851,7.2
Butterfly,1982,717,4.4
Butterfly Kiss,1995,1481,6.4
Butterfly on a Wheel,2007,21929,6.7
"Buy the Ticket, Take the Ride: Hunter S. Thompson on Film",2006,695,7.2
Buying the Cow,2002,5382,5.9
Buzz Lightyear of Star Command: The Adventure Begins,2000,2093,5.9
By Dawn's Early Light,1990,1716,7.1
By the Light of the Silvery Moon,1953,1232,6.9
By the People: The Election of Barack Obama,2009,788,6
By the Sea,1915,830,5.8
By the Sword,1991,1105,6.4
Bye Bye Birdie,1963,4664,6.6
Bye Bye Birdie,1995,583,6.1
Bye Bye Brasil,1980,971,7.4
Bye Bye Love,1995,3703,6.1
Byron,2003,546,7.1
Byt,1968,975,7.8
Byzantium,2012,19814,6.5
ByŸsoku 5 senchimÕtoru,2007,16650,7.9
B∑mbola,1996,911,4.4
B∑ng-kah,2010,1364,7
Bâst i Sverige!,2002,531,5.3
B nken,2000,2607,7.6
B»b»'s Kids,1992,2684,5.2
B»b» s,2010,5026,7
Bàrn n∑tt?runnar,1991,1004,7.7
B∏y∏,2004,2880,2.7
B∏y∏k adam k∏¡∏k ask,2001,828,7.6
C Blok,1994,960,6.2
C Kkompany,2008,574,5.3
C'era un cinese in coma,2000,541,5.4
C'era una volta,1967,616,6.7
C'era una volta il West,1968,161542,8.7
C'eravamo tanto amati,1974,2476,8.1
C'est arriv» prÀs de chez vous,1992,23435,7.7
"C'est pas moi, je le jure!",2008,1380,7.6
C'»tait un rendez-vous,1976,2258,8
C r  ook,2004,1077,6.4
C+ jing taam,2007,802,6.7
C.H.O.M.P.S.,1979,536,4.8
C.H.U.D.,1984,6247,5.4
C.H.U.D. II - Bud the Chud,1989,2018,3.4
C.M.Y.L.M.Z.,2008,2998,9.2
C.O.G.,2013,1822,5.6
C.R.A.Z.Y.,2005,23363,8
C.S.A.: The Confederate States of America,2004,3710,6.4
CB4,1993,6249,6.1
CBGB,2013,2489,6.4
CKY 3,2001,1260,7.3
CKY 4 Latest & Greatest,2003,1260,7.3
CKY2K,2000,1770,7.4
CLONED: The Recreator Chronicles,2012,967,4.2
CM101MMXI Fundamentals,2013,28214,9.5
CMYLMZ: Soru & cevap,2010,517,7.8
CQ,2001,3881,6.4
Ca$h,2008,3043,6
Ca$h,2010,6462,6.1
Caballos salvajes,1995,914,7.2
Cabaret,1972,30534,7.9
Cabeza de Vaca,1991,708,7
Cabin Boy,1994,6288,5
Cabin Fever,2002,52282,5.6
Cabin Fever 2: Spring Fever,2009,7717,4.3
Cabin Fever: Patient Zero,2014,1360,4.6
Cabin by the Lake,2000,1741,5.7
Cabin in the Sky,1943,1578,7.3
Cabiria,1914,1738,6.5
Caccia alla volpe,1966,2343,6.5
Cachorro,2004,2947,7.5
Cach»,2005,43350,7.3
Cactus Flower,1969,5324,7.2
Cadaveri eccellenti,1976,957,7.5
Caddyshack,1980,65182,7.4
Caddyshack II,1988,11147,3.6
Cadence,1990,3809,6.5
Cadet Kelly,2002,7226,5.4
Cadillac Man,1990,8795,5.5
Cadillac Records,2008,12301,6.9
Cado dalle nubi,2009,1514,6.3
Caesar and Cleopatra,1945,1493,6.5
Caffeine,2006,2226,5.7
Caf»,2011,1566,5.6
Caf» Flesh,1982,542,6.5
Caf» Transit,2005,1376,7.5
Caf» com Leite,2007,595,6.9
Caf» de Flore,2011,7287,7.4
Caged,1950,1840,7.8
Caged Heat,1974,1253,5.4
Cahill U.S. Marshal,1973,3130,6.4
Cain and Mabel,1936,1167,8.1
Cairo Time,2009,3950,6.7
Cake,2005,2887,5
Cal,1984,990,6.7
Calamari Union,1985,1592,7.3
Calamity Jane,1953,4856,7.3
Calendar,1993,1415,6.7
Calendar Girl,1993,1654,4.9
Calendar Girls,2003,16663,6.9
California Dreamin' Nesfarsit,2007,6273,8
California Solo,2012,725,6.2
California Split,1974,2721,7.2
California Suite,1978,4209,6.2
Caligola,1979,23327,5.2
Caligola: La storia mai raccontata,1982,583,3.9
Call Girl,2007,1619,6.4
Call Girl,2012,2235,6.7
Call Me Claus,2001,1265,5.4
Call Me Crazy: A Five Film,2013,577,7
Call Me Madam,1953,764,7
Call Me Mrs. Miracle,2010,627,6.3
Call Me: The Rise and Fall of Heidi Fleiss,2004,961,5.6
Call Northside 777,1948,4800,7.4
Callas Forever,2002,1631,6.6
Calle 54,2000,590,7.4
Calle Mayor,1956,595,8
Calvaire,2004,7754,6.2
Calvary,2014,2123,7.9
Calvin Marshall,2009,572,6
Cama adentro,2004,706,7.3
Camel Spiders,2011,1093,2.4
Camelot,1967,4007,6.7
Camera,2000,1125,7.2
Cameraman Ganga tho Rambabu,2012,987,6
Cameraman: The Life and Work of Jack Cardiff,2010,696,7.7
Cameron's Closet,1988,591,4.9
Camila,1984,701,7.1
Camilla,1994,727,6
Camille,1921,574,6.6
Camille,1936,4692,7.6
Camille,2008,3294,6
Camille Claudel,1988,4114,7.3
Camille Claudel 1915,2013,1163,6.5
Camille redouble,2012,1490,6.3
Camino,2008,2890,7.6
Camouflage,2001,1061,4.4
Camp,2003,4575,6.4
Camp Blood,2000,656,3
Camp Cucamonga,1990,651,5.9
Camp Fred,2012,674,2.9
Camp Hell,2010,1694,3.5
Camp Nowhere,1994,6291,5.8
Camp Rock,2008,14470,4.8
Camp Rock 2: The Final Jam,2010,6469,5
Camp Slaughter,2004,614,1.9
Camp Takota,2014,2015,7.3
Camp X-Ray,2014,738,8.3
Campanadas a medianoche,1965,3423,7.9
Campfire Stories,2001,696,2.8
Campfire Tales,1997,2536,5.9
Camping,2006,1953,4.8
Camping 2,2010,530,4
Camping del terrore,1986,804,4.2
Camping sauvage,2004,502,5.9
Campus Confidential,2005,555,4.6
Can que,1978,1034,7.6
Can't Buy Me Love,1987,17575,6.7
Can't Hardly Wait,1998,32590,6.5
Can't Stop the Music,1980,2678,4.5
Can-Can,1960,1349,6.4
Canaan,2008,727,7
Canadian Bacon,1995,12298,5.9
Canary Row,1950,511,7
Candles on Bay Street,2006,605,6.5
Candleshoe,1977,2300,6.7
Candy,1968,1753,5.4
Candy,2006,29668,7.3
Candy Stripers,2006,997,2.9
Candyman,1992,42358,6.5
Candyman: Day of the Dead,1999,3212,4.3
Candyman: Farewell to the Flesh,1995,6215,5.3
Cane Toads: An Unnatural History,1988,874,7.8
Cane e gatto,1983,799,5.7
Cani arrabbiati,1974,2175,7.7
Canim kardesim,1973,3070,8.6
Cannery Row,1982,2485,6.6
Cannibal,2006,756,5.2
Cannibal Holocaust,1980,29699,6
Cannibal Women in the Avocado Jungle of Death,1989,1496,4.9
Cannibal ferox,1981,5634,5.2
Cannonball Run II,1984,9858,4.7
Cannonball!,1976,2899,5.4
Canone inverso,2000,753,7.2
Cansada de besar sapos,2006,692,6.1
Canvas,2006,792,6.7
Canyon Passage,1946,908,7.1
CanÃbal,2013,1038,5.7
Caos calmo,2008,2915,6.9
Cape Fear,1962,17198,7.8
Cape Fear,1991,103828,7.3
Capitaine Conan,1996,1329,7.3
Capitalism: A Love Story,2009,29324,7.4
CapitÑes da Areia,2011,521,6.2
CapitÑes de Abril,2000,1854,7.2
Capone,1975,1608,5.7
Capote,2005,78073,7.4
Capriccio,1987,505,4.9
Caprice,1967,677,5.6
Capricorn One,1977,13591,6.8
Captain Abu Raed,2007,1176,7.3
Captain America,1979,699,3.7
Captain America,1990,7193,3.2
Captain America II: Death Too Soon,1979,514,3.8
Captain America: The First Avenger,2011,298304,6.8
Captain America: The Winter Soldier,2014,141817,8.2
Captain Blood,1935,8310,7.8
Captain Clegg,1962,1163,7.1
Captain Corelli's Mandolin,2001,24775,5.9
Captain EO,1986,2606,6.4
Captain Horatio Hornblower R.N.,1951,4208,7.5
Captain January,1936,649,7.1
Captain Kidd,1945,877,6.4
Captain Kronos - Vampire Hunter,1974,2353,6.7
Captain Mike Across America,2007,1968,5.4
Captain Nemo and the Underwater City,1969,808,5.6
"Captain Newman, M.D.",1963,1379,7
Captain Phillips,2013,203545,8
Captain Ron,1992,14670,5.6
Captain Sindbad,1963,524,5.5
Captain from Castile,1947,1039,7
Captains Courageous,1937,5723,8
Captains of the Clouds,1942,840,6.5
Captifs,2010,1414,5.3
Captives,1994,1648,6.4
Captivity,2007,18899,4.6
Capturing Mary,2007,811,7.1
Capturing the Friedmans,2003,14692,7.9
"Car 54, Where Are You?",1994,3506,2.4
Car Wash,1976,4002,5.8
Caracara,1999,548,5
Caramuru - A Inven¡Ño do Brasil,2001,813,6.6
Carancho,2010,4358,6.9
Carandiru,2003,10859,7.6
Caravaggio,1986,3061,6.7
Carbine Williams,1952,1120,7
Carbon Copy,1981,1556,5.5
Care Bears Movie II: A New Generation,1986,1438,5.2
Career Girls,1997,3398,7.1
Career Opportunities,1991,5892,5.8
Carefree,1938,2029,7.2
Careful,1992,1219,7.2
Cargo,2006,868,5.1
Cargo,2009,11607,6.3
Carjacked,2011,2971,5
Carla's Song,1996,2098,6.9
Carlito's Way,1993,135484,7.9
Carlito's Way: Rise to Power,2005,3456,4.9
Carlota Joaquina - Princesa do Brasil,1995,702,7
Carlston za Ognjenku,2008,1664,7
Carman: The Champion,2001,739,5.9
Carmen,1915,560,7.1
Carmen,1983,1849,7.5
Carmen,1984,925,7.5
Carmen,2003,1381,6.2
Carmen Jones,1954,2786,7
Carmen: A Hip Hopera,2001,1078,4.8
Carmencita,1894,865,5.9
Carmina o revienta,2012,981,6.3
Carnage,2011,76038,7.2
Carnages,2002,611,6.3
Carnal Knowledge,1971,7040,7
Carne,1991,2857,7.3
Carne de ne€n,2010,1002,5.7
Carne tr»mula,1997,19166,7.5
Carnival of Souls,1962,11041,7.2
Carnival of Souls,1998,1617,3.2
Carnosaur,1993,2619,3.4
Carnosaur 2,1995,1234,3.1
Carnosaur 3: Primal Species,1996,1305,2.7
Carny,1980,1247,6.5
Carny,2009,928,4.4
Caro diario,1993,4312,7.3
Carodejuv ucen,1978,514,7.8
Carolina,2003,3140,6.2
Carolina Moon,2007,1491,6
Carousel,1956,3729,7
Carpool,1996,3154,4.8
Carrie,1952,1260,7.5
Carrie,1976,98392,7.4
Carrie,2002,6499,5.5
Carrie,2013,65302,6
Carried Away,1996,1208,6.5
Carriers,2009,30105,6.1
Carrington,1995,3953,6.8
Carrotblanca,1995,700,7.3
Carry On... Up the Khyber,1968,2830,6.8
Carry on Abroad,1972,1908,6.3
Carry on Again Doctor,1969,1296,6.1
Carry on Behind,1975,1416,5.2
Carry on Cabby,1963,1194,6.4
Carry on Camping,1969,2701,6.5
Carry on Cleo,1964,2135,6.8
Carry on Columbus,1992,1573,2.8
Carry on Cowboy,1966,1362,6.2
Carry on Cruising,1962,1333,6
Carry on Dick,1974,1345,5.9
Carry on Doctor,1967,1903,6.4
Carry on Emmannuelle,1978,1143,2.7
Carry on England,1976,1161,3.3
Carry on Girls,1973,1454,5.2
Carry on Henry,1971,1349,6.1
Carry on Jack,1963,989,5.8
Carry on Jatta,2012,1272,7.8
Carry on Loving,1970,1126,5.7
Carry on Matron,1972,1469,6
Carry on Nurse,1959,1323,6.2
Carry on Regardless,1961,975,6
Carry on Screaming!,1966,2306,6.8
Carry on Sergeant,1958,1210,6.3
Carry on Spying,1964,1286,6.2
Carry on Teacher,1959,1079,6.2
Carry on Up the Jungle,1970,1473,5.8
Carry on at Your Convenience,1971,1670,5.8
"Carry on, Constable",1960,1138,6.2
Cars,2006,172168,7.3
Cars 2,2011,70030,6.4
Carson City,1952,502,6.3
Cartoon All-Stars to the Rescue,1990,643,6.3
Cartouche,1962,1308,6.8
Carve Her Name with Pride,1958,940,7.3
Carver,2008,2187,4.9
Casa de Areia,2005,2374,7.5
Casa de los babys,2003,1799,6.5
Casa de mi Padre,2012,14369,5.5
Casablanca,1942,302272,8.6
Casanova,2005,37561,6.5
Casanova Brown,1944,524,6.4
Casanova's Big Night,1954,610,6.8
Case 39,2009,46644,6.2
Case d»part,2011,1243,5.7
Cash,2007,1259,3.4
Cash McCall,1960,615,6.4
Cashback,2004,5053,7.6
Cashback,2006,60960,7.3
Casi divas,2008,505,6.2
Casino,1995,242158,8.2
Casino Jack,2010,12132,6.2
Casino Jack and the United States of Money,2010,1090,7.1
Casino Royale,1967,19110,5.2
Casino Royale,2006,347682,8
Casomai,2002,935,6.6
Casper,1995,67124,5.9
Casper Meets Wendy,1998,3636,5.2
Casper: A Spirited Beginning,1997,2030,4.4
Casque d'or,1952,2683,7.8
Cass,2008,3665,6.5
Cass Timberlane,1947,524,6.4
Cassadaga,2011,1929,5.3
Cassandra's Dream,2007,38204,6.8
Casse-tÕte chinois,2013,2723,7.2
Casshern,2004,11296,6.2
Cast Away,2000,290734,7.7
Cast a Dark Shadow,1955,581,7.2
Cast a Deadly Spell,1991,1285,6.7
Cast a Giant Shadow,1966,1655,6.4
Castaway,1986,2202,5.9
Castello Cavalcanti,2013,895,7.2
Castillos de cart€n,2009,670,5.8
Casting Couch,2013,2477,5.2
Castle Freak,1995,3388,5.9
Castle Keep,1969,1563,6.2
Castle in the Desert,1942,825,7.8
Casual Sex?,1988,2779,4.8
Casualties of War,1989,27875,7
Cat Ballou,1965,8824,6.9
Cat Chaser,1989,764,5.4
Cat People,1942,10015,7.5
Cat People,1982,11736,6
Cat Run,2011,3478,5.5
Cat Shit One,2010,654,7
Cat on a Hot Tin Roof,1958,27861,8.1
Cat's Cradle,1959,528,6.1
Cat's Eye,1985,13595,6.2
Cat-Women of the Moon,1953,831,3.5
Catacombs,2007,5868,4.6
Catalina Caper,1967,1173,1.9
Catch .44,2011,12375,4.7
Catch Me If You Can,2002,349210,8
Catch That Kid,2004,6664,5.2
Catch a Fire,2006,8949,6.8
Catch and Release,2006,15989,6
Catch-22,1970,15024,7.2
Catchfire,1990,2228,5.4
Catching Hell,2011,750,7.8
Category 6: Day of Destruction,2004,1772,5.3
Category 7: The End of the World,2005,1954,4.6
Caterina va in cittá,2003,1826,6.9
Catfish,2010,28184,7.1
Catherine the Great,1996,821,6.3
Catlow,1971,558,5.5
Cats & Dogs,2001,38723,5.2
Cats & Dogs: The Revenge of Kitty Galore,2010,8259,4.2
Cats Don't Dance,1997,4744,6.9
Cattle Call,2006,827,3.9
Cattle Queen of Montana,1954,518,5.6
Catwoman,2004,71541,3.3
Caught,1949,1638,7.2
Caught,1996,843,6.8
Caught Up,1998,623,5.3
Caught in a Cabaret,1914,562,5.7
Caught in the Crossfire,2010,901,4.6
Cause for Alarm!,1951,972,6.5
Cause for Concern,2002,745,4.4
Cautiva,2003,515,7.5
Cavalcade,1933,2245,6.2
Cavale,2002,995,7
Cave of Forgotten Dreams,2010,8009,7.3
Caved In,2006,866,3.5
Caveman,1981,4793,5.7
Cavemen,2013,1737,5.2
Cavite,2005,585,6.2
Cazuza: O Tempo NÑo P∑ra,2004,1381,7
Ca€tica Ana,2007,3146,6.4
Ce jour-lá,2003,542,6.9
Ce qu'il faut pour vivre,2008,707,7.5
Ce que le jour doit á la nuit,2012,567,7.2
Ce que mes yeux ont vu,2007,523,6.4
Cea mai fericita fata din lume,2009,655,6.9
Cecil B. DeMented,2000,10364,6.2
Cecilie,2007,645,5.6
Cedar Rapids,2011,29857,6.3
"Cekaj me, ja sigurno necu doci",2009,758,7
Cel mai iubit dintre pam”nteni,1993,1042,8.4
Celal Tan ve ailesinin asiri acikli hikayesi,2011,986,6.6
Celda 211,2009,38452,7.7
Celebrity,1998,17275,6.3
Celebrity Sex Tape,2012,1682,2.9
Celeste & Jesse Forever,2012,17035,6.6
Celeste in the City,2004,685,6
Cell Count,2012,508,3.6
Cellar Dweller,1988,634,4.8
Cellular,2004,67965,6.5
Celsius 41.11: The Temperature at Which the Brain... Begins to Die,2004,1352,4.5
Celtic Pride,1996,7507,5.1
Cemetery Gates,2006,864,3.6
Cemetery Junction,2010,15309,6.9
Cenizas del paraÃso,1997,1061,7.7
Cennet,2008,916,6.5
Cenneti beklerken,2006,1021,7
Cent mille dollars au soleil,1964,984,7.1
Center Stage,2000,13340,6.6
Center Stage: Turn It Up,2008,3534,6.1
Centochiodi,2007,559,6.3
Central do Brasil,1998,25383,8
Centurion,2010,52668,6.4
Cerberus,2005,951,3.8
Ceremony,2010,2915,5.6
Cern? Petr,1964,1138,7.4
Cerro Torre: Schrei aus Stein,1991,775,6.4
Certain Prey,2011,728,5.5
Cesar Chavez,2014,896,6.1
Cesare deve morire,2012,3485,7.3
Cesk? sen,2004,1682,7.5
Cesta do praveku,1955,790,7.5
Cet obscur objet du d»sir,1977,11732,7.9
Cetvrti covek,2007,1854,7.3
Ceux qui m'aiment prendront le train,1998,1526,6.6
Cha no aji,2004,3813,7.9
Chaahat,1996,1335,5.1
ChaalBaaz,1989,657,6.8
Chachi 420,1997,4393,7.4
Chacun cherche son chat,1996,2552,6.9
Chacun sa nuit,2006,789,6.1
Chacun son cin»ma ou Ce petit coup au coeur quand la lumiÀre s'»teint et que le film commence,2007,2920,6.8
Chaharshanbe-soori,2006,3170,8
Chai gong,1993,558,6.2
Chain Letter,2009,3480,4.1
Chain Lightning,1950,575,6.1
Chain Reaction,1996,34334,5.5
Chain Reaction,2006,1193,3.6
Chain of Command,2000,695,4.8
Chain of Fools,2000,3161,6.2
Chained,2012,8369,6.4
Chained Heat,1983,1431,4.7
Chained Heat II,1993,626,2.8
Chains of Gold,1991,559,5
Chairman of the Board,1998,4446,2.3
Chaiya,2007,534,6.4
Chak De! India,2007,25929,8.4
Chakravyuh,2012,1976,6.9
Chakushin ari,2003,12252,6.3
Chakushin ari 2,2005,2044,5.5
Chakushin ari final,2006,1053,5.2
Chal Mere Bhai,2000,1222,4.5
Chalet Girl,2011,13033,6.3
Chalk,2006,1213,6.3
Chalo Dilli,2011,1754,6.7
Chalte Chalte,2003,7959,6.7
Chalti Ka Naam Gaadi,1958,583,7.8
Chamatkar,1992,2721,6.7
Chambaili,2013,671,8
Chambre 666,1982,605,6.4
Chameli,2003,980,7.3
Chameli Ki Shaadi,1986,778,7.5
Champagne,1928,1104,5.8
Champagne for Caesar,1950,697,7.5
Champion,1949,1933,7.5
Chan Is Missing,1982,699,7
Chan sam ying hung,1998,648,7.1
Chance,2002,1052,7.5
Chance Pe Dance,2010,1489,4.5
Chances Are,1989,7178,6.4
Chand kilo khorma baraye marassem-e tadfin,2006,598,7.6
Chander Pahar,2013,990,7.4
Chandni,1989,844,6.9
Chandni Bar,2001,1235,7.7
Chandni Chowk to China,2009,3964,3.8
Chandramukhi,2005,1957,6.8
Chang: A Drama of the Wilderness,1927,534,7.2
Change of Habit,1969,1324,5.7
Change of Plans,2011,618,6.2
Changeling,2008,167066,7.8
Changement d'adresse,2006,598,6.8
Changing Lanes,2002,49842,6.5
Chao ji ji hua,1993,2678,6.2
Chao ji xue xiao ba wang,1993,606,6.1
Chaos,2001,1895,7.2
Chaos,2005,1595,3.2
Chaos,2005,36206,6.5
Chaos Theory,2008,24425,6.8
Chapaev,1934,547,7.3
Chapeaux á transformations,1895,593,6.4
Chaplin,1992,34755,7.5
